-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level          |            Upper level             |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |     (cm-1)       (cm-1)     |-------------------------------|------------------------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                             | Conf.            | Term | J   | Conf.                 | Term | J   |           |    |             |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek        | L Conf           |L Term| L J | U Conf                |U Term| U J |   gi - gk |Type|  TP         |   Line  |
        615.598   |   400 | 5.72e+06   | B+   |   86625.757  -   102865.655 | 2s2.2p3.(4S*).3p | 5P   | 1   | 2s2.2p3.(4S*).4d      | 5D*  | 1   |   3 - 3   |    |    T5803,LS |  L3760  |
        615.677   |   450 | 5.08e+06   | B+   |   86627.778  -   102865.547 | 2s2.2p3.(4S*).3p | 5P   | 2   | 2s2.2p3.(4S*).4d      | 5D*  | 3   |   5 - 7   |    |    T5803,LS |  L3760  |
        615.818   |   490 | 7.62e+06   | B+   |   86631.454  -   102865.506 | 2s2.2p3.(4S*).3p | 5P   | 3   | 2s2.2p3.(4S*).4d      | 5D*  | 4   |   7 - 9   |    |    T5803,LS |  L3760  |
        625.683   |    80 |            |      |  113721.413  -   129699.521 | 2s2.2p3.(2D*).3p | 3F   | 3   | 2s2.2p3.(2D*<3/2>).4d | 1G*  | 4   |   7 - 9   |    |             |  L3760  |
        626.155   |   100 |            |      |  113714.444  -   129680.522 | 2s2.2p3.(2D*).3p | 3F   | 4   | 2s2.2p3.(2D*).4d      | 3G*  | 5   |   9 - 11  |    |             |  L3760  |
        636.634   |   100 |            |      |  113996.239  -   129699.521 | 2s2.2p3.(2D*).3p | 1F   | 3   | 2s2.2p3.(2D*<3/2>).4d | 1G*  | 4   |   7 - 9   |    |             |  L3760  |
        637.432   |   100 |            |      |  113996.239  -   129679.841 | 2s2.2p3.(2D*).3p | 1F   | 3   | 2s2.2p3.(2D*).4d      | 3G*  | 4   |   7 - 9   |    |             |  L3760  |
        645.360   |   320 | 1.65e+06   | C+   |   86625.757  -   102116.698 | 2s2.2p3.(4S*).3p | 5P   | 1   | 2s2.2p3.(4S*).5s      | 5S*  | 2   |   3 - 5   |    |     T5713LS |  L3760  |
        645.444   |   360 | 2.75e+06   | C+   |   86627.778  -   102116.698 | 2s2.2p3.(4S*).3p | 5P   | 2   | 2s2.2p3.(4S*).5s      | 5S*  | 2   |   5 - 5   |    |     T5713LS |  L3760  |
        645.598   |   400 | 3.85e+06   | C+   |   86631.454  -   102116.698 | 2s2.2p3.(4S*).3p | 5P   | 3   | 2s2.2p3.(4S*).5s      | 5S*  | 2   |   7 - 5   |    |     T5713LS |  L3760  |
        660.491   |    80 |            |      |  113996.239  -   129132.323 | 2s2.2p3.(2D*).3p | 1F   | 3   | 2s2.2p3.(2D*<3/2>).5s | 1D*  | 2   |   7 - 5   |    |             |  L3760  |
        665.383   |   100 |            |      |  115918.143  -   130942.923 | 2s2.2p3.(2P*).3s | 1P*  | 1   | 2s2.2p3.(2P*).3p      | 1S   | 0   |   3 - 1   |    |             |  L3760  |
        700.192   |   360 | 2.65e+06   | B    |   88630.587  -   102908.443 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(4S*).4d      | 3D*  | 2   |   3 - 5   |    |    T5803,LS |  L3760  |
        700.223   |   450 | 3.53e+06   | B    |   88631.146  -   102908.374 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(4S*).4d      | 3D*  | 3   |   5 - 7   |    |    T5803,LS |  L3760  |
        715.670   |   210 | 5.05e+07   | B    |  102662.026  -   116631.094 | 2s2.2p3.(2D*).3s | 1D*  | 2   | 2s2.2p3.(2D*).3p      | 1D   | 2   |   5 - 5   |    |       T5713 |  L3760  |
        725.415   |   400 | 2.24e+06   | C+   |   88630.587  -   102411.995 | 2s2.2p3.(4S*).3p | 3P   | 1   | 2s2.2p3.(4S*).5s      | 3S*  | 1   |   3 - 3   |    |     T5713LS |  L3760  |
        725.445   |   450 | 3.73e+06   | C+   |   88631.146  -   102411.995 | 2s2.2p3.(4S*).3p | 3P   | 2   | 2s2.2p3.(4S*).5s      | 3S*  | 1   |   5 - 3   |    |     T5713LS |  L3760  |
        725.453   |   320 | 7.45e+05   | C+   |   88631.303  -   102411.995 | 2s2.2p3.(4S*).3p | 3P   | 0   | 2s2.2p3.(4S*).5s      | 3S*  | 1   |   1 - 3   |    |     T5713LS |  L3760  |
        747.644   |   210 |            |      |  113910.957  -   127282.626 | 2s2.2p3.(2P*).3s | 3P*  | 2   | 2s2.2p3.(2P*).3p      | 3D   | 3   |   5 - 7   |    |             |  L3760  |
        747.724   |   100 |            |      |  113921.391  -   127291.638 | 2s2.2p3.(2P*).3s | 3P*  | 1   | 2s2.2p3.(2P*).3p      | 3D   | 1   |   3 - 3   |    |             |  L3760  |
        747.908   |   120 |            |      |  113921.391  -   127288.349 | 2s2.2p3.(2P*).3s | 3P*  | 1   | 2s2.2p3.(2P*).3p      | 3D   | 2   |   3 - 5   |    |             |  L3760  |
        748.067   |   120 |            |      |  113927.534  -   127291.638 | 2s2.2p3.(2P*).3s | 3P*  | 0   | 2s2.2p3.(2P*).3p      | 3D   | 1   |   1 - 3   |    |             |  L3760  |
        770.675   |   100 |            |      |  113294.816  -   126266.896 | 2s2.2p3.(2D*).3p | 3D   | 3   | 2s.2p5                | 3P*  | 2   |   7 - 5   |    |             |  L3760  |
        777.194   |   870 | 3.69e+07   | A    |   73768.200  -    86631.454 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).3p      | 5P   | 3   |   5 - 7   |    |    T5803,LS |  L3760  |
        777.417   |   810 | 3.69e+07   | A    |   73768.200  -    86627.778 | 2s2.2p3.(4S*).3s | 5S*  | 2   | 2s2.2p3.(4S*).3p      | 5P   | 2   |   5 - 5   |    |    T5803,LS |  L3760  |
