-----------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level      |     Upper level     |  gi   gk  |Type|         TP  |   Line  |
    Wavelength    |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------|---------------------|           |    |        Ref. |   Ref.  |
     Air (nm)     |       |            |      |                           | Conf.   | Term | J   | Conf.  | Term | J   |           |    |             |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf  |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|       TP    |   Line  |
        389.8120  |     1 | 5.88e+07   | C+   |  57873.94   -   83520.47  | 3p2     | 3P   | 2   | 3p.3d  | 3D*  | 2   |   5 - 5   |    | T6298c72,LS |  L7442  |
        390.3859  |     4 |            |      |  35051.264  -   60659.69  | 3s.3p   | 1P*  | 1   | 3s.11d | 1D   | 2   |   3 - 5   |    |             |  L6095  |
        393.8400  |     6 | 5.47e+06   | D    |  35051.264  -   60435.099 | 3s.3p   | 1P*  | 1   | 3s.10d | 1D   | 2   |   3 - 5   |    |    T6298c72 |  L7428  |
        398.4212  |     1 |            |      |  35051.264  -   60143.23  | 3s.3p   | 1P*  | 1   | 3s.10s | 1S   | 0   |   3 - 1   |    |             |  L6095  |
        398.67533 |     8 | 7.30e+06   | D    |  35051.264  -   60127.239 | 3s.3p   | 1P*  | 1   | 3s.9d  | 1D   | 2   |   3 - 5   |    |    T6298c72 |  L7428  |
        405.4689  |     2 |            |      |  35051.264  -   59707.11  | 3s.3p   | 1P*  | 1   | 3s.9s  | 1S   | 0   |   3 - 1   |    |             |  L6095  |
        405.75052 |    10 | 1.02e+07   | C+   |  35051.264  -   59689.991 | 3s.3p   | 1P*  | 1   | 3s.8d  | 1D   | 2   |   3 - 5   |    |       T5539 |  L7428  |
        407.5059  |     3 |            |      |  21870.464  -   46403.065 | 3s.3p   | 3P*  | 1   | 3s.3d  | 1D   | 2   |   3 - 5   |    |             |  L6095  |
        408.1833  |     2 |            |      |  21911.178  -   46403.065 | 3s.3p   | 3P*  | 2   | 3s.3d  | 1D   | 2   |   5 - 5   |    |             |  L6095  |
        416.5101  |     4 |            |      |  35051.264  -   59053.52  | 3s.3p   | 1P*  | 1   | 3s.8s  | 1S   | 0   |   3 - 1   |    |             |  L6095  |
