-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |           Rel. |    Aki     | Acc. |      Ei           Ek      |        Lower level         |        Upper level         |  gi   gk  |   Type|    TP  |         Line  |
   Wavelength   |           Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |----------------------------|----------------------------|           |       |   Ref. |         Ref.  |
    Air (nm)    |                |            |      |                           | Conf.         | Term | J   | Conf.         | Term | J   |           |       |        |               |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel           |    Aki     | Acc  |              Ei - Ek      | L Conf        |L Term| L J | U Conf        |U Term| U J |   gi - gk |Type   |  TP    |   Line        |
       302.701  |           480* | 9.e+05     | D    |   88923.29  -   121949.78 | 3d5.(2H).4s   | 3H   | 6   | 3d5.(4G).4p   | 3G*  | 5   |  13 - 11  |       |  T6105 |        L1171  |
       302.7491 |             81 |            |      |   83359.20  -   116380.24 | 3d5.(4F).4s   | 5F   | 2   | 3d5.(4P).4p   | 5D*  | 1   |   5 - 3   |       |        |        L1171  |
       302.7765 |            140 |            |      |  186454.10  -   219472.12 | 3d5.(4D).4d   | 5G   | 5   | 3d5.(4F).5p   | 5F*  | 4   |  11 - 9   |       |        |        L1171  |
       303.5788 |             86 |            |      |   89697.74  -   122628.53 | 3d5.(a 2G).4s | 3G   | 3   | 3d5.(4D).4p   | 5D*  | 2   |   7 - 5   |       |        |        L1171  |
       303.9576 |            130 |            |      |  118868.04  -   151757.82 | 3d5.(4P).4p   | 5P*  | 1   | 3d5.(6S).5s   | 5S   | 2   |   3 - 5   |       |        |        L1171  |
       304.588  |             46 |            |      |  114340.26  -   147161.27 | 3d5.(b 2G).4s | 3G   | 4   | 3d5.(b 2F).4p | 3G*  | 4   |   9 - 9   |       |        |  L3495,L1171  |
       304.6195 |            220 |            |      |  186597.49  -   219415.77 | 3d5.(4D).4d   | 5G   | 6   | 3d5.(4F).5p   | 5F*  | 5   |  13 - 11  |       |        |        L1171  |
       304.671  | 130wbl(Fe II)* |            |      |  118721.77  -   151535.03 | 3d5.(4P).4p   | 5P*  | 2   | 3d5.(6S).4d   | 5D   | 2   |   5 - 5   |       |        |        L1171  |
       304.671  | 130wbl(Fe II)* |            |      |  118721.77  -   151534.30 | 3d5.(4P).4p   | 5P*  | 2   | 3d5.(6S).4d   | 5D   | 3   |   5 - 7   |       |        |        L1171  |
       305.0467 |            120 |            |      |   83647.26  -   116419.72 | 3d5.(4F).4s   | 5F   | 1   | 3d5.(4P).4p   | 5D*  | 2   |   3 - 5   |       |        |        L1171  |
       305.4138 |            270 |            |      |   83647.26  -   116380.24 | 3d5.(4F).4s   | 5F   | 1   | 3d5.(4P).4p   | 5D*  | 1   |   3 - 3   |       |        |        L1171  |
       305.5554 |             72 |            |      |   83647.26  -   116365.03 | 3d5.(4F).4s   | 5F   | 1   | 3d5.(4P).4p   | 5D*  | 0   |   3 - 1   |       |        |        L1171  |
       305.9368 |             39 |            |      |  167207.35  -   199884.29 | 3d5.(b 2G).4p | 3G*  | 4   | 3d5.(4F).4d   | 5H   | 5   |   9 - 11  |       |        |  L3495,L1171  |
       306.0013 |             74 |            |      |  118868.04  -   151538.07 | 3d5.(4P).4p   | 5P*  | 1   | 3d5.(6S).4d   | 5D   | 0   |   3 - 1   |       |        |        L1171  |
       306.0159 |             74 |            |      |  118868.04  -   151536.85 | 3d5.(4P).4p   | 5P*  | 1   | 3d5.(6S).4d   | 5D   | 1   |   3 - 3   |       |        |        L1171  |
       306.5023 |             39 |            |      |  167085.60  -   199702.21 | 3d5.(b 2G).4p | 3G*  | 3   | 3d5.(4F).4d   | 5H   | 3   |   7 - 7   |       |        |  L3495,L1171  |
       306.6817 |             39 |            |      |  167207.35  -   199805.04 | 3d5.(b 2G).4p | 3G*  | 4   | 3d5.(4F).4d   | 5H   | 4   |   9 - 9   |       |        |  L3495,L1171  |
       306.803  |             39 |            |      |  167298.80  -   199884.29 | 3d5.(b 2G).4p | 3G*  | 5   | 3d5.(4F).4d   | 5H   | 5   |  11 - 11  |       |        |  L3495,L1171  |
       306.9647 |             26 |            |      |   84370.15  -   116937.86 | 3d5.(a 2F).4s | 3F   | 2   | 3d5.(4G).4p   | 5F*  | 1   |   5 - 3   |       |        |        L1171  |
       307.0091 |            120 |            |      |   89783.78  -   122346.75 | 3d5.(a 2G).4s | 3G   | 4   | 3d5.(4P).4p   | 3D*  | 3   |   9 - 7   |       |        |        L1171  |
       308.407  |            110 |            |      |   90484.18  -   122898.90 | 3d5.(4F).4s   | 3F   | 3   | 3d5.(4P).4p   | 3D*  | 2   |   7 - 5   |       |        |        L1171  |
       309.0754 |             66 |            |      |   88664.08  -   121008.91 | 3d5.(2H).4s   | 3H   | 4   | 3d5.(4D).4p   | 5F*  | 3   |   9 - 7   |       |        |        L1171  |
       309.163  |    150bl(Fe I) |            |      |   83138.66  -   115474.52 | 3d5.(4F).4s   | 5F   | 5   | 3d5.(4G).4p   | 5H*  | 6   |  11 - 13  |       |        |        L1171  |
       309.4303 |             61 |            |      |   84159.77  -   116467.59 | 3d5.(a 2F).4s | 3F   | 4   | 3d5.(4G).4p   | 5F*  | 4   |   9 - 9   |       |        |        L1171  |
       309.4761 |             38 |            |      |   84672.08  -   116975.21 | 3d5.(a 2F).4s | 3F   | 3   | 3d5.(4P).4p   | 5S*  | 2   |   7 - 5   |       |        |        L1171  |
       309.682  |    32bl(Fe II) |            |      |  105906.27  -   138187.96 | 3d5.(b 2D).4s | 3D   | 2   | 3d5.(2H).4p   | 3G*  | 3   |   5 - 7   |       |        |        L1171  |
