-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |      Rel. |    Aki     | Acc. |      Ei           Ek      |             Lower level             |              Upper level               |  gi   gk  |Type|               TP  |       Line  |
     Wavelength     |      Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |-------------------------------------|----------------------------------------|           |    |              Ref. |       Ref.  |
      Air (nm)      |           |            |      |                           | Conf.                 | Term  | J   | Conf.                 | Term     | J   |           |    |                   |             |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel      |    Aki     | Acc  |              Ei - Ek      | L Conf                |L Term | L J | U Conf                |U Term    | U J |   gi - gk |Type|             TP    |    Line     |
         300.8677   |         1 |            |      |  24772.018  -   57999.461 | 3d7.(2P).4s           | c 3P  | 1   | 3d6.4s.(4D).5p        | 3P*      | 2   |   3 - 5   |    |                   |  L11631c80  |
         300.8789   |         0 |            |      |  23110.939  -   56337.126 | 3d6.(5D).4s.4p.(3P*)  | z 7F* | 3   | 3d6.4s.(6D).5d        | 5D       | 3   |   7 - 7   |    |                   |  L11631c80  |
         300.90929  |      2140 | 7.77e+06   | B+   |  19390.168  -   52613.090 | 3d6.4s2               | a 3H  | 6   | 3d7.(2H).4p           | w 3H*    | 5   |  13 - 11  |    |             T5720 |     L11631  |
         300.95691  |     52000 | 1.43e+07   | C+   |   7376.764  -   40594.432 | 3d7.(4F).4s           | a 5F  | 4   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 4   |   9 - 9   |    |             T5720 |     L11631  |
         300.9681   |        0d |            |      |  26550.479  -   59766.92  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 0   | 3d6.4s.(6D<5/2>).6d   | 2[3/2]   | 1   |   1 - 3   |    |                   |  L11631c80  |
         301.0168   |       2bl |            |      |  20641.110  -   53852.114 | 3d6.4s2               | b 3F2 | 4   | 3d7.(4F).5p           | 5G*      | 4   |   9 - 9   |    |                   |  L11631c80  |
         301.1271   |         1 |            |      |  26339.696  -   59538.594 | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 2   | 3d6.4s.(6D<7/2>).6d   | 2[5/2]   | 3   |   5 - 7   |    |                   |  L11631c80  |
         301.1474   |      11bl |            |      |  20641.110  -   53837.851 | 3d6.4s2               | b 3F2 | 4   | 3d7.(4F).5p           | 3D*      | 3   |   9 - 7   |    |                   |  L11631c80  |
         301.14808  |      6800 | 3.79e+07   | B+   |  22249.429  -   55446.008 | 3d7.(2G).4s           | a 3G  | 3   | 3d6.(1G2).4s.4p.(3P*) | v 3H*    | 4   |   7 - 9   |    |             T5720 |     L11631  |
         301.18847  |       191 |            |      |  20037.816  -   53229.941 | 3d6.4s2               | a 3P2 | 0   | 3d7.(2D2).4p          | v 3P*    | 1   |   1 - 3   |    |                   |     L11631  |
         301.24412  |       520 |            |      |  19621.006  -   52807.001 | 3d6.4s2               | a 3H  | 5   | 3d7.(4F).5p           | 3G*      | 5   |  11 - 11  |    |                   |     L11631  |
         301.2933   |      2bl* |            |      |  26339.696  -   59520.304 | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 2   | 3d6.4s.(6D<7/2>).6d   | 2[7/2]   | 3   |   5 - 7   |    |                   |  L11631c80  |
         301.2933   |      2bl* |            |      |  24180.862  -   57361.366 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7G       | 3   |   7 - 7   |    |                   |  L11631c80  |
         301.3489   |         0 |            |      |  26339.696  -   59514.13  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 2   | 3d6.4s.(6D<7/2>).6d   | 2[5/2]   | 2   |   5 - 5   |    |                   |  L11631c80  |
         301.4099   |       1bl |            |      |  23783.619  -   56951.301 | 3d6.4s2               | b 3G  | 5   | 3d7.(2H).4p           | v 1G*    | 4   |  11 - 9   |    |                   |  L11631c80  |
         301.41732  |      1000 | 2.57e+05   | B    |   7728.060  -   40894.990 | 3d7.(4F).4s           | a 5F  | 3   | 3d6.(3P2).4s.4p.(3P*) | z 5S*    | 2   |   7 - 5   |    |             T5720 |     L11631  |
         301.4315   |       (0) |            |      |  19788.251  -   52953.629 | 3d6.4s2               | a 3H  | 4   | 3d6.(3G).4s.4p.(3P*)  | x 3F*    | 4   |   9 - 9   |    |                   |  L11631c81  |
         301.59188  |      1380 | 6.3e+06    | D+   |  19621.006  -   52768.743 | 3d6.4s2               | a 3H  | 5   | 3d7.(2H).4p           | w 3H*    | 4   |  11 - 9   |    |            T2491n |     L11631  |
         301.61845  |      5400 | 8.85e+06   | D+   |   7985.785  -   41130.599 | 3d7.(4F).4s           | a 5F  | 2   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 1   |   5 - 3   |    |             T5720 |     L11631  |
         301.7251   |       3bl |            |      |  23711.456  -   56844.475 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 4   | 3d6.4s.(6D).5d        | 7P       | 4   |   9 - 9   |    |                   |  L11631c80  |
         301.74173  |       372 |            |      |  23711.456  -   56842.733 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 4   | 3d6.4s.(6D).5d        | 7F       | 5   |   9 - 11  |    |                   |     L11631  |
         301.76270  |     29500 | 6.81e+06   | A    |    888.132  -   34017.103 | 3d6.4s2               | a 5D  | 1   | 3d7.(4F).4p           | y 5D*    | 1   |   3 - 3   |    |             T3547 |     L11631  |
         301.7861   |       (3) |            |      |  24180.862  -   57307.320 | 3d6.(5D).4s.4p.(3P*)  | z 7P* | 3   | 3d6.4s.(6D).5d        | 7F       | 4   |   7 - 9   |    |                   |  L11631c81  |
         301.81348  |       407 |            |      |  19390.168  -   52513.560 | 3d6.4s2               | a 3H  | 6   | 3d7.(2H).4p           | y 3I*    | 6   |  13 - 13  |    |                   |     L11631  |
         301.8247   |       (0) |            |      |  20641.110  -   53763.280 | 3d6.4s2               | b 3F2 | 4   | 3d7.(2D2).4p          | x 1F*    | 3   |   9 - 7   |    |                   |  L11631c81  |
         301.8700   |        0d |            |      |  22996.674  -   56113.887 | 3d6.(5D).4s.4p.(3P*)  | z 7F* | 4   | 3d7.(4F).6s           | 5F       | 5   |   9 - 11  |    |                   |  L11631c80  |
         301.89828  |     26300 | 1.03e+07   | C+   |   7728.060  -   40842.154 | 3d7.(4F).4s           | a 5F  | 3   | 3d6.(5D).4s.4p.(1P*)  | x 5F*    | 3   |   7 - 7   |    |             T5720 |     L11631  |
         301.9221   |        0d |            |      |  26479.381  -   59590.85  | 3d6.(5D).4s.4p.(3P*)  | z 5D* | 1   | 3d6.4s.(6D<7/2>).6d   | 2[3/2]   | 1   |   3 - 3   |    |                   |  L11631c80  |
         301.92873  |       680 | 2.33e+06   | C+   |  19788.251  -   52898.998 | 3d6.4s2               | a 3H  | 4   | 3d7.(2H).4p           | y 3I*    | 5   |   9 - 11  |    |             T5720 |     L11631  |
         301.9926   |         0 |            |      |  24335.766  -   57439.486 | 3d7.(2P).4s           | c 3P  | 2   | 3d6.4s.(6D<5/2>).4f   | 2[7/2]*  | 3   |   5 - 7   |    |                   |  L11631c80  |
