-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |   Rel. |    Aki     | Acc. |      Ei           Ek       |              Lower level              |              Upper level               |  gi   gk  |Type|      TP  |  Line  |
   Wavelength   |   Int. |   (s^-1)   |      |    (cm-1)       (cm-1)     |---------------------------------------|----------------------------------------|           |    |     Ref. |  Ref.  |
    Air (nm)    |        |            |      |                            | Conf.                 | Term    | J   | Conf.                 | Term     | J   |           |    |          |        |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel   |    Aki     | Acc  |              Ei - Ek       | L Conf                |L Term   | L J | U Conf                |U Term    | U J |   gi - gk |Type|  TP      |   Line |
       305.6161 |    550 | 7.46e+07   | A    |  264924.32  -   297635.61  | 2s2.2p5.3s            | 3P*     | 2   | 2s2.2p5.3p            | 3D       | 2   |   5 - 5   |    |    T7663 |  L914  |
       305.7375 |    550 | 4.51e+07   | B+   |  300103.92  -   332802.21  | 2s2.2p5.3p            | 3P      | 2   | 2s2.2p5.(2P*<1/2>).3d | 2[5/2]*  | 2   |   5 - 5   |    |    T7663 |  L914  |
       305.795  |    550 |            |      |  331123.04  -   363814.78  | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 4   | 2s2.2p5.(2P*<3/2>).5f | 2[5/2]   | 3   |   9 - 7   |    |          |  L914  |
       305.8720 |    550 | 2.18e+07   | C+   |  299189.96  -   331873.93  | 2s2.2p5.3p            | 1D      | 2   | 2s2.2p5.(2P*<3/2>).4s | 2[3/2]*  | 1   |   5 - 3   |    |    T7663 |  L914  |
       306.0251 |    700 |            |      |  331123.04  -   363790.60  | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 4   | 2s2.2p5.(2P*<3/2>).5f | 2[9/2]   | 5   |   9 - 11  |    |          |  L914  |
       306.1350 |    800 | 1.0e+08    | E    |  300507.11  -   333162.94  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]*  | 1   |   3 - 3   |    | T7663c80 |  L914  |
       306.1792 |     25 |            |      |  331186.70  -   363837.82  | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[7/2]   | 3   |   7 - 7   |    |          |  L914  |
       306.4375 |    500 | 7.62e+06   | C    |  298165.44  -   330789.05  | 2s2.2p5.3p            | 3D      | 1   | 2s2.2p5.(2P*<3/2>).3d | 2[3/2]*  | 2   |   3 - 5   |    |    T6036 |  L914  |
       306.6223 |    500 |            |      |  331186.70  -   363790.64  | 2s2.2p5.(2P*<3/2>).3d | 2[7/2]* | 3   | 2s2.2p5.(2P*<3/2>).5f | 2[9/2]   | 4   |   7 - 9   |    |          |  L914  |
       306.6535 |    500 | 3.74e+07   | B    |  300507.11  -   333107.74  | 2s2.2p5.3p            | 3P      | 1   | 2s2.2p5.(2P*<1/2>).4s | 2[1/2]*  | 1   |   3 - 3   |    | T7663c80 |  L914  |
