-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
         301.0641   |             230d |            |      |   33466.4943  -    66672.336  | 3d6.(1G2).4s          | c 2G  | 9/2  | 3d6.(3G).4p           | y 4H*  | 7/2  |  10 - 8   |    |                |     L18349c142  |
         301.0829   |              150 |            |      |   75600.900   -   108804.711  | 3d6.(3D).4p           | w 2F* | 7/2  | 3d6.(3D).5s           | 4D     | 7/2  |   8 - 8   |    |                |     L18349c143  |
         301.2187   |            150d? |            |      |   54870.541   -    88059.304  | 3d6.(3F1).4s          | d 2F  | 5/2  | 3d5.(4P).4s.4p.(3P*)  | 6D*    | 5/2  |   6 - 6   |    |                |     L18349c142  |
         301.2588   |            250d? |            |      |   30764.4737  -    63948.803  | 3d6.(3G).4s           | b 2G  | 7/2  | 3d6.(3F2).4p          | y 4G*  | 9/2  |   8 - 10  |    |                |     L18349c142  |
         301.3664   |             110d |            |      |   72352.046   -   105524.482  | 3d6.(3D).4p           | w 4F* | 7/2  | 3d6.(3F2).4d          | 4H     | 9/2  |   8 - 10  |    |                |     L18349c143  |
         301.3798   |              400 |            |      |   33501.2957  -    66672.336  | 3d6.(1G2).4s          | c 2G  | 7/2  | 3d6.(3G).4p           | y 4H*  | 7/2  |   8 - 8   |    |                |     L18349c142  |
         301.4164   |              210 |            |      |   78577.263   -   111744.362  | 3d5.4s2               | 2G2   | 9/2  | 3d6.(3F2).5p          | 2G*    | 7/2  |  10 - 8   |    |                |     L18349c143  |
         301.5009   |            180d? |            |      |   45079.9019  -    78237.709  | 3d6.(5D).4p           | z 4F* | 5/2  | 3d6.(5D).5s           | e 6D   | 7/2  |   6 - 8   |    |                |     L18349c142  |
         301.5388   |             90d? | 7.2e+06    | D+   |   73054.913   -   106208.574  | 3d6.(1G2).4p          | x 2F* | 5/2  | 3d6.(3F2).4d          | 2F     | 5/2  |   6 - 6   |    |       T6892c83 |     L18349c142  |
         301.57941  |              350 | 5.7e+06    | D+   |   73751.276   -   106900.373  | 3d6.(1I).4p           | w 2H* | 9/2  | 3d6.(3F2).4d          | 2G     | 7/2  |  10 - 8   |    |       T6892c83 |     L18349c139  |
         301.6878   |              120 |            |      |   72261.742   -   105398.876  | 3d6.(1G2).4p          | x 2H* | 11/2 | 3d6.(3F2).4d          | 4H     | 11/2 |  12 - 12  |    |                |     L18349c142  |
         301.6940   |             190d | 1.7e+06    | D    |   57493.333   -    90629.811  | 3d5.4s2               | d 4P  | 3/2  | 3d6.(3P1).4p          | 4S*    | 3/2  |   4 - 4   |    |       T6892c83 |     L18349c142  |
         301.7251   |      230bl(Fe I) |            |      |   70986.667   -   104119.740  | 3d6.(1I).4p           | z 2K* | 13/2 | 3d6.(3H).4d           | 2K     | 15/2 |  14 - 16  |    |                |     L18349c143  |
         301.8012   |            110d? |            |      |   72650.698   -   105775.517  | 3d6.(3D).4p           | w 4F* | 9/2  | 3d6.(3F2).4d          | 2F     | 7/2  |  10 - 8   |    |                |     L18349c143  |
         301.8205   |              230 |            |      |   33466.4943  -    66589.042  | 3d6.(1G2).4s          | c 2G  | 9/2  | 3d6.(3G).4p           | y 4H*  | 9/2  |  10 - 10  |    |                |     L18349c142  |
         301.9130   |            110d? |            |      |   72650.698   -   105763.286  | 3d6.(3D).4p           | w 4F* | 9/2  | 3d6.(3F2).4d          | 2H     | 11/2 |  10 - 12  |    |                |     L18349c143  |
         301.9221   |     90d,bl(Fe I) |            |      |   75600.900   -   108712.415  | 3d6.(3D).4p           | w 2F* | 7/2  | 3d6.(3D).5s           | 4D     | 5/2  |   8 - 6   |    |                |     L18349c143  |
         301.9378   |          150d,bl |            |      |   66463.542   -    99573.244  | 3d6.(3G).4p           | y 4H* | 11/2 | 3d6.(3F2).5s          | f 4F   | 9/2  |  12 - 10  |    |                |     L18349c143  |
         301.9808   |         1200d,bl |            |      |   45079.9019  -    78185.004  | 3d6.(5D).4p           | z 4F* | 5/2  | 3d5.4s2               | 2G2    | 7/2  |   6 - 8   |    |                |     L18349c143  |
         302.0008   |            700d? | 6.e+04     | E    |   32909.883   -    66012.775  | 3d6.(1I).4s           | a 2I  | 11/2 | 3d6.(3G).4p           | x 4F*  | 9/2  |  12 - 10  |    |       T6892c83 |     L18349c143  |
         302.0254   |          100d,bl |            |      |   73492.248   -   106592.294  | 3d5.4s2               | 4F    | 7/2  | 3d5.(2D3).4s.4p.(3P*) | 4P*    | 5/2  |   8 - 6   |    |                |     L18349c143  |
         302.0320   |            150d? |            |      |   66589.042   -    99688.355  | 3d6.(3G).4p           | y 4H* | 9/2  | 3d6.(3F2).5s          | f 4F   | 7/2  |  10 - 8   |    |                |     L18349c143  |
         302.0758   |            600d? |            |      |   54870.541   -    87965.137  | 3d6.(3F1).4s          | d 2F  | 5/2  | 3d5.(4G).4s.4p.(3P*)  | y 6F*  | 3/2  |   6 - 4   |    |                |     L18349c143  |
         302.1311   |             110d | 3.3e+06    | D+   |   72429.675   -   105518.142  | 3d6.(3D).4p           | w 4D* | 1/2  | 3d6.(3F2).4d          | 4F     | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c143  |
         302.1414   |             700d | 4.e+05     | E    |   27314.9183  -    60402.333  | 3d6.(3F2).4s          | a 2F  | 7/2  | 3d6.(3P2).4p          | y 4P*  | 5/2  |   8 - 6   |    |       T6892c83 |     L18349c143  |
