-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |             Rel. |    Aki     | Acc. |        Ei           Ek        |             Lower level              |              Upper level              |  gi   gk  |Type|            TP  |           Line  |
     Wavelength     |             Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |--------------------------------------|---------------------------------------|           |    |           Ref. |           Ref.  |
      Air (nm)      |                  |            |      |                               | Conf.                 | Term  | J    | Conf.                 | Term   | J    |           |    |                |                 |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel             |    Aki     | Acc  |              Ei - Ek          | L Conf                |L Term | L J  | U Conf                |U Term  | U J  |   gi - gk |Type|    	  TP    |        Line     |
         354.0959   |               11 |            |      |   85184.773   -   113417.614  | 3d6.(5D).4d           | e 4G  | 9/2  | 3d6.(5D<3>).5f        | 2[6]*  | 11/2 |  10 - 12  |    |                |     L18349c139  |
         354.8878   |               12 |            |      |   85184.773   -   113354.632  | 3d6.(5D).4d           | e 4G  | 9/2  | 3d6.(5D<3>).5f        | 2[5]*  | 11/2 |  10 - 12  |    |                |     L18349c139  |
         355.17358  |               40 |            |      |   84863.382   -   113010.585  | 3d6.(5D).4d           | e 4G  | 11/2 | 3d6.(5D<4>).5f        | 2[7]*  | 13/2 |  12 - 14  |    |                |     L18349c139  |
         355.694    |               35 |            |      |   45289.8248  -    73395.831  | 3d6.(5D).4p           | z 4F* | 3/2  | 3d5.4s2               | 4F     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         360.252519 |     1800bl(Fe I) |            |      |   78725.822   -   106476.196  | 3d6.(5D).5s           | e 6D  | 3/2  | 3d5.(4F).4s.4p.(3P*)  | 6F*    | 1/2  |   4 - 2   |    |                |     L18349c148  |
         361.4873   |              500 | 4.2e+05    | D    |   33501.2957  -    61156.827  | 3d6.(1G2).4s          | c 2G  | 7/2  | 3d6.(3H).4p           | z 4H*  | 7/2  |   8 - 8   |    |       T6892c83 |          L7357  |
         361.9102   |              110 |            |      |   79243.462   -   106866.770  | 3d6.(1D2).4p          | w 2P* | 3/2  | 3d6.(3F2).4d          | 4F     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         362.0876   |               40 |            |      |   90487.827   -   118097.578  | 3d6.(5D).5p           | 6F*   | 5/2  | 3d5.4p2               | 4P     | 5/2  |   6 - 6   |    |                |     L18349c139  |
         362.1268   |              230 | 2.2e+06    | D+   |   37227.277   -    64834.069  | 3d6.(1S2).4s          | a 2S  | 1/2  | 3d6.(3P2).4p          | z 2P*  | 3/2  |   2 - 4   |    |       T6892c83 |     L18349c139  |
         362.4890   |              500 | 2.4e+06    | D    |   37227.277   -    64806.494  | 3d6.(1S2).4s          | a 2S  | 1/2  | 3d6.(3P2).4p          | z 2P*  | 1/2  |   2 - 2   |    |       T6892c83 |          L7357  |
         363.2292   |              190 | 1.2e+05    | E    |   33466.4943  -    60989.444  | 3d6.(1G2).4s          | c 2G  | 9/2  | 3d6.(3H).4p           | z 4H*  | 9/2  |  10 - 10  |    |       T6892c83 |          L7357  |
         364.2538   |               40 |            |      |   87602.335   -   115047.887  | 3d5.(4P).4s.4p.(3P*)  | 6D*   | 3/2  | 3d6.(5D).6d           | 6P     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         365.25948  |              120 |            |      |   79284.919   -   106654.923  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 5/2  | 3d5.4s.(7S).4d        | 6D     | 5/2  |   6 - 6   |    |                |     L18349c139  |
         365.52380  |              250 | 6.e+06     | E    |   79243.462   -   106593.657  | 3d6.(1D2).4p          | w 2P* | 3/2  | 3d5.4s.(7S).5s        | 6S     | 5/2  |   4 - 6   |    |          T6370 |     L18349c139  |
         365.55703  |              400 | 1.0e+07    | E    |   79245.926   -   106593.657  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 3/2  | 3d5.4s.(7S).5s        | 6S     | 5/2  |   4 - 6   |    |          T6370 |     L18349c139  |
         365.88006  |              220 |            |      |   79331.361   -   106654.923  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d5.4s.(7S).4d        | 6D     | 5/2  |   8 - 6   |    |                |     L18349c139  |
         366.07888  |             1000 | 2.3e+07    | E    |   79284.919   -   106593.657  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 5/2  | 3d5.4s.(7S).5s        | 6S     | 5/2  |   6 - 6   |    |          T6370 |     L18349c139  |
         366.51771  |               50 |            |      |   86416.370   -   113692.411  | 3d6.(5D).4d           | e 4F  | 7/2  | 3d6.(5D<2>).5f        | 2[4]*  | 9/2  |   8 - 10  |    |                |     L18349c139  |
         366.70254  |             1100 | 2.9e+07    | E    |   79331.361   -   106593.657  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d5.4s.(7S).5s        | 6S     | 5/2  |   8 - 6   |    |          T6370 |     L18349c139  |
         367.68722  |      180bl(Fe I) |            |      |   79331.361   -   106520.612  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d5.4s.(7S).4d        | 6D     | 7/2  |   8 - 8   |    |                |     L18349c148  |
         368.305445 |    20000bl(Fe I) |            |      |   78487.144   -   105630.764  | 3d6.(1D2).4p          | w 2D* | 3/2  | 3d6.(5D).5d           | 4G     | 5/2  |   4 - 6   |    |                |     L18349c148  |
         369.26475  |      110bl(Fe I) |            |      |   87572.959   -   114646.097  | 3d5.(4G).4s.4p.(3P*)  | y 6F* | 5/2  | 3d6.(5D).6d           | 4G     | 7/2  |   6 - 8   |    |                |     L18349c148  |
         371.1974   |               90 | 1.5e+05    | E    |   47674.728   -    74606.864  | 3d7                   | d 2D1 | 3/2  | 3d6.(3D).4p           | x 2D*  | 5/2  |   4 - 6   |    |       T6892c83 |          L7357  |
         372.05965  |               50 |            |      |   86124.348   -   112994.097  | 3d6.(5D).4d           | e 4F  | 9/2  | 3d6.(5D<4>).5f        | 2[6]*  | 11/2 |  10 - 12  |    |                |     L18349c139  |
         374.8489   |             1800 | 3.4e+06    | D+   |   38164.220   -    64834.069  | 3d6.(1D2).4s          | c 2D  | 5/2  | 3d6.(3P2).4p          | z 2P*  | 3/2  |   6 - 4   |    |       T6892c83 |          L7357  |
         374.896430 |     1300bl(Fe I) |            |      |   86710.911   -   113377.340  | 3d6.(5D).4d           | e 4F  | 3/2  | 3d6.(5D<3>).5f        | 2[2]*  | 5/2  |   4 - 6   |    |                |     L18349c148  |
         375.9460   |              700 | 3.2e+06    | D+   |   38214.503   -    64806.494  | 3d6.(1D2).4s          | c 2D  | 3/2  | 3d6.(3P2).4p          | z 2P*  | 1/2  |   4 - 2   |    |       T6892c83 |          L7357  |
         376.56997  |      210bl(Fe I) |            |      |   78690.860   -   105238.815  | 3d6.(1D2).4p          | w 2D* | 5/2  | 3d6.(3P2).4d          | 2D     | 5/2  |   6 - 6   |    |                |     L18349c148  |
         378.8378   |               30 |            |      |   87340.882   -   113729.889  | 3d5.(4G).4s.4p.(3P*)  | y 6F* | 11/2 | 3d6.(5D).6d           | 6G     | 13/2 |  12 - 14  |    |                |     L18349c139  |
         380.4859   |               80 |            |      |   79243.462   -   105518.142  | 3d6.(1D2).4p          | w 2P* | 3/2  | 3d6.(3F2).4d          | 4F     | 3/2  |   4 - 4   |    |                |     L18349c148  |
         380.87925  |              120 |            |      |   81639.253   -   107886.868  | 3d5.4s2               | 2F2   | 5/2  | 3d5.(4F).4s.4p.(3P*)  | 6D*    | 7/2  |   6 - 8   |    |                |     L18349c145  |
         381.36346  |      500bl(Fe I) |            |      |   79245.926   -   105460.233  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 3/2  | 3d6.(3F2).4d          | 4D     | 3/2  |   4 - 4   |    |                |     L18349c148  |
         381.4121   |              280 | 5.e+05     | D    |   38214.503   -    64425.405  | 3d6.(1D2).4s          | c 2D  | 3/2  | 3d6.(3F2).4p          | z 2F*  | 5/2  |   4 - 6   |    |       T6892c83 |          L7357  |
         382.4913   |              150 | 3.e+03     | E    |   20830.5534  -    46967.4751 | 3d6.(3P2).4s          | b 4P  | 5/2  | 3d6.(5D).4p           | z 4P*  | 5/2  |   6 - 6   |    |       T6892c83 |          L7357  |
         382.7079   |              270 | 2.5e+05    | D    |   38164.220   -    64286.354  | 3d6.(1D2).4s          | c 2D  | 5/2  | 3d6.(3F2).4p          | z 2F*  | 7/2  |   6 - 8   |    |       T6892c83 |          L7357  |
         384.29884  |      340bl(Fe I) |            |      |   60402.333   -    86416.370  | 3d6.(3P2).4p          | y 4P* | 5/2  | 3d6.(5D).4d           | e 4F   | 7/2  |   6 - 8   |    |                |     L18349c148  |
         385.3004   |               28 |            |      |   86929.664   -   112876.116  | 3d6.(3P1).4p          | v 4D* | 7/2  | 3d6.(5D).7s           | 4D     | 7/2  |   8 - 8   |    |                |     L18349c139  |
         386.13398  |      250bl(Fe I) |            |      |   89119.452   -   115009.864  | 3d6.(5D).5p           | 6D*   | 5/2  | 3d6.(5D).6d           | 6P     | 3/2  |   6 - 4   |    |                |     L18349c148  |
         390.6037   |              500 | 1.1e+06    | D+   |   44929.532   -    70523.694  | 3d6.(1F).4s           | c 2F  | 5/2  | 3d6.(3G).4p           | x 2G*  | 7/2  |   6 - 8   |    |       T6892c83 |          L7357  |
         391.4480   |               40 | 5.e+03     | E    |   13474.4474  -    39013.2160 | 3d7                   | a 4P  | 5/2  | 3d6.(5D).4p           | z 6D*  | 3/2  |   6 - 4   |    |       T6892c83 |          L7357  |
         391.831490 |     2200bl(Fe I) |            |      |   73054.913   -    98568.907  | 3d6.(1G2).4p          | x 2F* | 5/2  | 3d6.(3H).5s           | e 4H   | 7/2  |   6 - 8   |    |                |     L18349c148  |
         393.2244   |       90bl(Fe I) | 1.4e+06    | D    |   74498.093   -    99921.670  | 3d6.(3D).4p           | x 2D* | 3/2  | 3d6.(3P2).5s          | 2P     | 1/2  |   4 - 2   |    |       T6892c83 |     L18349c148  |
         393.5942   |              800 | 8.e+05     | D+   |   44915.057   -    70314.624  | 3d6.(1F).4s           | c 2F  | 7/2  | 3d6.(3G).4p           | x 2G*  | 9/2  |   8 - 10  |    |       T6892c83 |          L7357  |
         393.8289   |               40 | 6.e+03     | E    |   13474.4474  -    38858.9696 | 3d7                   | a 4P  | 5/2  | 3d6.(5D).4p           | z 6D*  | 5/2  |   6 - 6   |    |       T6892c83 |          L7357  |
         393.8969   |              350 | 8.e+05     | D+   |   47674.728   -    73054.913  | 3d7                   | d 2D1 | 3/2  | 3d6.(1G2).4p          | x 2F*  | 5/2  |   4 - 6   |    |       T6892c83 |          L7357  |
         394.2266   |         23bl(Ne) |            |      |   87985.667   -   113344.585  | 3d6.(5D).4d           | 4P    | 5/2  | 3d6.(5D<3>).5f        | 2[3]*  | 5/2  |   6 - 6   |    |                |     L18349c146  |
         396.3960   |               22 |            |      |   88157.176   -   113377.340  | 3d6.(5D).4d           | 4P    | 3/2  | 3d6.(5D<3>).5f        | 2[2]*  | 5/2  |   4 - 6   |    |                |     L18349c139  |
         396.96272  |       80bl(Fe I) |            |      |   98445.410   -   123629.564  | 3d6.(3H).5s           | e 4H  | 9/2  | 3d6.(3P2<1>).4f       | 2[4]*  | 9/2  |  10 - 10  |    |                |     L18349c139  |
         397.1749   |                7 |            |      |   91167.936   -   116338.649  | 3d6.(5D).5p           | w 6P* | 7/2  | 3d5.4s.(5S).4d        | 6D     | 5/2  |   8 - 6   |    |                |     L18349c139  |
         397.4160   |               90 | 6.e+03     | E    |   21812.0454  -    46967.4751 | 3d6.(3P2).4s          | b 4P  | 3/2  | 3d6.(5D).4p           | z 4P*  | 5/2  |   4 - 6   |    |       T6892c83 |          L7357  |
         398.0886   |               15 |            |      |   82853.704   -   107966.642  | 3d6.(5D).4d           | e 6F  | 11/2 | 3d5.(4F).4s.4p.(3P*)  | 6D*    | 9/2  |  12 - 10  |    |                |     L18349c139  |
         398.6067   |               22 | 2.0e+06    | D+   |   79331.361   -   104411.671  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d6.(5D).5d           | 6D     | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c139  |
         399.5611   |               16 |            |      |   89444.455   -   114464.872  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 5/2  | 3d6.(5D).6d           | 114464 | 3/2  |   6 - 4   |    |                |     L18349c139  |
         399.6831   |               40 | 2.1e+05    | D    |   73492.248   -    98505.022  | 3d5.4s2               | 4F    | 7/2  | 3d5.(4D).4s.4p.(3P*)  | 4D*    | 5/2  |   8 - 6   |    |       T6892c83 |     L18349c139  |
         400.0801   |               23 |            |      |   82978.717   -   107966.642  | 3d6.(5D).4d           | e 6F  | 9/2  | 3d5.(4F).4s.4p.(3P*)  | 6D*    | 9/2  |  10 - 10  |    |                |     L18349c139  |
         400.2906   |               20 |            |      |   89119.452   -   114094.244  | 3d6.(5D).5p           | 6D*   | 5/2  | 3d6.(5D).6d           | 114094 | 5/2  |   6 - 6   |    |                |     L18349c139  |
         400.6392   |               35 |            |      |   81639.253   -   106592.294  | 3d5.4s2               | 2F2   | 5/2  | 3d5.(2D3).4s.4p.(3P*) | 4P*    | 5/2  |   6 - 6   |    |                |     L18349c139  |
         400.8090   |                9 |            |      |   88614.523   -   113557.048  | 3d5.(4P).4s.4p.(3P*)  | 6D*   | 9/2  | 3d6.(5D).6d           | 6F     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         401.0835   |               14 |            |      |   87471.789   -   112397.186  | 3d5.(4G).4s.4p.(3P*)  | y 6F* | 9/2  | 3d6.(5D).7s           | 6D     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         401.1308   |               16 |            |      |   89471.372   -   114393.845  | 3d6.(5D).5p           | 6D*   | 1/2  | 3d6.(5D).6d           | 114393 | 3/2  |   2 - 4   |    |                |     L18349c139  |
         401.2742   |               22 |            |      |   88614.523   -   113528.091  | 3d5.(4P).4s.4p.(3P*)  | 6D*   | 9/2  | 3d6.(5D).6d           | 6F     | 11/2 |  10 - 12  |    |                |     L18349c139  |
         401.4205   |               33 |            |      |   79284.919   -   104189.382  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 5/2  | 3d6.(3H).4d           | 4F     | 3/2  |   6 - 4   |    |                |     L18349c139  |
         402.08874  |               30 |            |      |   88853.535   -   113716.636  | 3d6.(5D).5p           | 6D*   | 7/2  | 3d6.(5D).6d           | 113716 | 7/2  |   8 - 8   |    |                |     L18349c139  |
         402.4552   |              350 | 2.5e+05    | D    |   36252.931   -    61093.406  | 3d6.(3D).4s           | b 2D  | 5/2  | 3d6.(3P2).4p          | z 2D*  | 5/2  |   6 - 6   |    |       T6892c83 |          L7357  |
         402.56554  |               50 |            |      |   88723.398   -   113557.048  | 3d6.(5D).5p           | 6D*   | 9/2  | 3d6.(5D).6d           | 6F     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         402.6580   |               21 |            |      |   89128.569   -   113956.532  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 7/2  | 3d6.(5D).6d           | 6D     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         402.8670   |               17 |            |      |   89119.452   -   113934.512  | 3d6.(5D).5p           | 6D*   | 5/2  | 3d6.(5D).6d           | 6D     | 5/2  |   6 - 6   |    |                |     L18349c139  |
         403.03559  |               60 |            |      |   88723.398   -   113528.091  | 3d6.(5D).5p           | 6D*   | 9/2  | 3d6.(5D).6d           | 6F     | 11/2 |  10 - 12  |    |                |     L18349c139  |
         403.12399  |       80bl(Fe I) |            |      |   79243.462   -   104042.692  | 3d6.(1D2).4p          | w 2P* | 3/2  | 3d6.(3H).4d           | 4G     | 5/2  |   4 - 6   |    |                |     L18349c148  |
         403.14317  |               20 |            |      |   89444.455   -   114242.513  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 5/2  | 3d6.(5D).6d           | 114242 | 5/2  |   6 - 6   |    |                |     L18349c139  |
         403.7477   |               70 |            |      |   59663.440   -    84424.422  | 3d6.(3P2).4p          | z 4S* | 3/2  | 3d6.(5D).4d           | 6P     | 3/2  |   4 - 4   |    |                |     L18349c139  |
         404.2733   |               16 |            |      |   89444.455   -   114173.223  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 5/2  | 3d6.(5D).6d           | 6D     | 7/2  |   6 - 8   |    |                |     L18349c139  |
         404.6866   |               17 |            |      |   88853.535   -   113557.048  | 3d6.(5D).5p           | 6D*   | 7/2  | 3d6.(5D).6d           | 6F     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         405.24985  |               60 |            |      |   83868.450   -   108537.623  | 3d6.(1F).4p           | v 2D* | 5/2  | 3d6.(3G).4d           | 4G     | 7/2  |   6 - 8   |    |                |     L18349c139  |
         405.4716   |               70 |            |      |   60807.239   -    85462.907  | 3d6.(3H).4p           | z 4G* | 9/2  | 3d6.(5D).4d           | e 4G   | 7/2  |  10 - 8   |    |                |     L18349c139  |
         405.6615   |               11 |            |      |   90386.533   -   115030.664  | 3d6.(5D).5p           | 6F*   | 9/2  | 3d6.(3D).4d           | 4F     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         405.84823  |               33 |            |      |   90397.873   -   115030.664  | 3d6.(5D).5p           | 4D*   | 7/2  | 3d6.(3D).4d           | 4F     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         406.0717   |               33 | 1.6e+06    | D+   |   79331.361   -   103950.602  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d6.(5D).5d           | 6F     | 9/2  |   8 - 10  |    |       T6892c83 |     L18349c139  |
         406.6311   |               24 |            |      |   78525.442   -   103110.835  | 3d6.(5D).5s           | e 6D  | 5/2  | 3d6.(5D<4>).4f        | 2[1]*  | 3/2  |   6 - 4   |    |                |     L18349c139  |
         406.9610   |               12 |            |      |   89444.455   -   114009.908  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 5/2  | 3d6.(5D).6d           | 4D     | 7/2  |   6 - 8   |    |                |     L18349c139  |
         407.2268   |               21 |            |      |   83990.106   -   108539.473  | 3d6.(5D).4d           | 6D    | 3/2  | 3d5.(2F1).4s.4p.(3P*) | 4F*    | 5/2  |   4 - 6   |    |                |     L18349c139  |
         407.5812   |               15 |            |      |   83558.569   -   108086.672  | 3d6.(5D).4d           | e 6F  | 1/2  | 3d6.(5D).6p           | 4P*    | 1/2  |   2 - 2   |    |                |     L18349c139  |
         407.59428  |              500 | 1.6e+03    | E    |   20516.9534  -    45044.1916 | 3d7                   | a 2D2 | 5/2  | 3d6.(5D).4p           | z 4D*  | 3/2  |   6 - 4   |    |       T6892c83 |     L18349c145  |
         410.5365   |               23 |            |      |   79245.926   -   103597.409  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 3/2  | 3d6.(3P2).4d          | 2F     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         411.4539   |              170 |            |      |   60887.606   -    85184.773  | 3d6.(3H).4p           | z 4H* | 11/2 | 3d6.(5D).4d           | e 4G   | 9/2  |  12 - 10  |    |                |     L18349c139  |
         412.2638   |              130 | 3.e+04     | E    |   20830.5534  -    45079.9019 | 3d6.(3P2).4s          | b 4P  | 5/2  | 3d6.(5D).4p           | z 4F*  | 5/2  |   6 - 6   |    |       T6892c83 |          L7357  |
         412.4401   |               24 |            |      |   82978.717   -   107217.854  | 3d6.(5D).4d           | e 6F  | 9/2  | 3d6.(5D).6p           | 6F*    | 9/2  |  10 - 10  |    |                |     L18349c139  |
         412.4793   |               26 | 3.e+03     | E    |   20516.9534  -    44753.8179 | 3d7                   | a 2D2 | 5/2  | 3d6.(5D).4p           | z 4F*  | 7/2  |   6 - 8   |    |       T6892c83 |          L7357  |
         412.8735   |               80 | 2.6e+04    | E    |   20830.5534  -    45044.1916 | 3d6.(3P2).4s          | b 4P  | 5/2  | 3d6.(5D).4p           | z 4D*  | 3/2  |   6 - 4   |    |       T6892c83 |          L7357  |
         412.9854   |               12 |            |      |   89727.383   -   113934.512  | 3d6.(3F1).4p          | 4G*   | 5/2  | 3d6.(5D).6d           | 6D     | 5/2  |   6 - 6   |    |                |     L18349c139  |
         414.25886  |       50bl(Fe I) |            |      |   84870.911   -   109003.621  | 3d6.(5D).4d           | f 4D  | 5/2  | 3d5.(2F1).4s.4p.(3P*) | 4D*    | 3/2  |   6 - 4   |    |                |     L18349c148  |
         414.8796   |                8 |            |      |   90487.827   -   114584.409  | 3d6.(5D).5p           | 6F*   | 5/2  | 3d6.(5D).6d           | 114584 | 5/2  |   6 - 6   |    |                |     L18349c146  |
         415.02486  |     1500bl(Fe I) |            |      |   49100.956   -    73189.114  | 3d6.(3P1).4s          | c 4P  | 1/2  | 3d6.(3D).4p           | y 2P*  | 3/2  |   2 - 4   |    |                |     L18349c148  |
         415.1618   |                8 |            |      |   90593.511   -   114673.754  | 3d6.(5D).5p           | 6F*   | 3/2  | 3d6.(5D).6d           | 114673 | 1/2  |   4 - 2   |    |                |     L18349c139  |
         415.3737   |               12 |            |      |   86543.902   -   110611.830  | 3d6.(3P1).4p          | v 4D* | 3/2  | 3d6.(3G).4d           | 2F     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         415.8735   |               50 |            |      |   82853.704   -   106892.717  | 3d6.(5D).4d           | e 6F  | 11/2 | 3d6.(5D).6p           | 6F*    | 11/2 |  12 - 12  |    |                |     L18349c139  |
         416.4231   |               12 |            |      |   90638.823   -   114646.097  | 3d6.(5D).5p           | 4D*   | 5/2  | 3d6.(5D).6d           | 4G     | 7/2  |   6 - 8   |    |                |     L18349c139  |
         416.5529   |               21 |            |      |   89625.951   -   113625.745  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 3/2  | 3d6.(5D).7s           | 4D     | 1/2  |   4 - 2   |    |                |     L18349c139  |
         416.70724  |               40 |            |      |   90593.511   -   114584.409  | 3d6.(5D).5p           | 6F*   | 3/2  | 3d6.(5D).6d           | 114584 | 5/2  |   4 - 6   |    |                |     L18349c139  |
         416.7294   |               16 |            |      |   90300.628   -   114290.252  | 3d6.(5D).5p           | 6F*   | 7/2  | 3d6.(5D).6d           | 6G     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         416.7574   |               16 |            |      |   90487.827   -   114475.826  | 3d6.(5D).5p           | 6F*   | 5/2  | 3d6.(5D).6d           | 114475 | 5/2  |   6 - 6   |    |                |     L18349c139  |
         416.8967   |               26 |            |      |   92358.625   -   116338.649  | 3d5.(4G).4s.4p.(3P*)  | v 4F* | 3/2  | 3d5.4s.(5S).4d        | 6D     | 5/2  |   4 - 6   |    |                |     L18349c139  |
         417.2856   |               16 |            |      |   90638.823   -   114596.462  | 3d6.(5D).5p           | 4D*   | 5/2  | 3d6.(5D).6d           | 114596 | 3/2  |   6 - 4   |    |                |     L18349c139  |
         417.33147  |      220bl(Fe I) |            |      |   90397.873   -   114352.875  | 3d6.(5D).5p           | 4D*   | 7/2  | 3d6.(5D).6d           | 114352 | 5/2  |   8 - 6   |    |                |     L18349c148  |
         417.3450   |              800 | 4.4e+05    | C+   |   20830.5534  -    44784.7859 | 3d6.(3P2).4s          | b 4P  | 5/2  | 3d6.(5D).4p           | z 4D*  | 5/2  |   6 - 6   |    |          T7589 |   L7357,L18198  |
         417.58308  |               40 |            |      |   90487.827   -   114428.410  | 3d6.(5D).5p           | 6F*   | 5/2  | 3d6.(5D).6d           | 114428 | 7/2  |   6 - 8   |    |                |     L18349c139  |
         417.6003   |               70 |            |      |   54902.286   -    78841.872  | 3d6.(3P1).4s          | c 2P  | 3/2  | 3d6.(1D2).4p          | w 2P*  | 1/2  |   4 - 2   |    |                |     L18349c139  |
         417.88546  |              210 | 1.7e+05    | C    |   20830.5534  -    44753.8179 | 3d6.(3P2).4s          | b 4P  | 5/2  | 3d6.(5D).4p           | z 4F*  | 7/2  |   6 - 8   |    |          T7589 |     L18349c139  |
         418.0613   |               60 |            |      |   79439.496   -   103352.723  | 3d6.(5D).5s           | e 4D  | 7/2  | 3d6.(5D<3>).4f        | 2[5]*  | 9/2  |   8 - 10  |    |                |     L18349c139  |
         418.0823   |               16 |            |      |   83459.721   -   107371.685  | 3d6.(5D).4d           | e 6F  | 3/2  | 3d5.(2D1).4s.4p.(3P*) | 4D*    | 5/2  |   4 - 6   |    |                |     L18349c139  |
         418.19653  |               50 |            |      |   90901.130   -   114806.568  | 3d6.(5D).5p           | 4P*   | 5/2  | 3d6.(5D).6d           | 4G     | 5/2  |   6 - 6   |    |                |     L18349c145  |
         418.2269   |               16 |            |      |   90386.533   -   114290.252  | 3d6.(5D).5p           | 6F*   | 9/2  | 3d6.(5D).6d           | 6G     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         418.42560  |               40 |            |      |   90397.873   -   114290.252  | 3d6.(5D).5p           | 4D*   | 7/2  | 3d6.(5D).6d           | 6G     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         418.4815   |               17 |            |      |   90067.357   -   113956.532  | 3d6.(3F1).4p          | 4G*   | 9/2  | 3d6.(5D).6d           | 6D     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         418.8976   |                8 |            |      |   90780.623   -   114646.097  | 3d6.(5D).5p           | 4F*   | 7/2  | 3d6.(5D).6d           | 4G     | 7/2  |   8 - 8   |    |                |     L18349c139  |
         419.00134  |               50 |            |      |   90300.628   -   114160.174  | 3d6.(5D).5p           | 6F*   | 7/2  | 3d6.(5D).6d           | 4F     | 9/2  |   8 - 10  |    |                |     L18349c139  |
         419.8355   |               15 |            |      |   91167.936   -   114980.083  | 3d6.(5D).5p           | w 6P* | 7/2  | 3d6.(5D).6d           | 6P     | 7/2  |   8 - 8   |    |                |     L18349c139  |
         419.94838  |              170 |            |      |   89924.150   -   113729.889  | 3d6.(5D).5p           | 6F*   | 11/2 | 3d6.(5D).6d           | 6G     | 13/2 |  12 - 14  |    |                |     L18349c139  |
         420.05170  |               70 |            |      |   90067.357   -   113867.242  | 3d6.(3F1).4p          | 4G*   | 9/2  | 3d6.(5D).6d           | 6G     | 11/2 |  10 - 12  |    |                |     L18349c139  |
         420.2330   |       16bl(Fe I) |            |      |   90638.823   -   114428.410  | 3d6.(5D).5p           | 4D*   | 5/2  | 3d6.(5D).6d           | 114428 | 7/2  |   6 - 8   |    |                |     L18349c148  |
         420.2987   |               18 |            |      |   89444.455   -   113230.351  | 3d5.(4P).4s.4p.(3P*)  | 6P*   | 5/2  | 3d6.(5D).7s           | 6D     | 3/2  |   6 - 4   |    |                |     L18349c139  |
         420.4854   |               12 |            |      |   90397.873   -   114173.223  | 3d6.(5D).5p           | 4D*   | 7/2  | 3d6.(5D).6d           | 6D     | 7/2  |   8 - 8   |    |                |     L18349c139  |
         420.5153   |               16 |            |      |   90386.533   -   114160.174  | 3d6.(5D).5p           | 6F*   | 9/2  | 3d6.(5D).6d           | 4F     | 9/2  |  10 - 10  |    |                |     L18349c139  |
         420.55382  |      500bl(Fe I) |            |      |   79331.361   -   103102.849  | 3d5.(6S).4s.4p.(1P*)  | x 6P* | 7/2  | 3d6.(3P2).4d          | 4D     | 7/2  |   8 - 8   |    |                |     L18349c148  |
         420.55890  |              140 |            |      |   90386.533   -   114157.716  | 3d6.(5D).5p           | 6F*   | 9/2  | 3d6.(5D).6d           | 4G     | 11/2 |  10 - 12  |    |                |     L18349c139  |
         420.77486  |               27 |            |      |   89471.372   -   113230.351  | 3d6.(5D).5p           | 6D*   | 1/2  | 3d6.(5D).7s           | 6D     | 3/2  |   2 - 4   |    |                |     L18349c139  |
         420.7861   |               19 |            |      |   91048.225   -   114806.568  | 3d6.(3P1).5p          | 4P*   | 3/2  | 3d6.(5D).6d           | 4G     | 5/2  |   4 - 6   |    |                |     L18349c139  |
