-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |  Rel. |    Aki     | Acc. |         Ei           Ek         |            Lower level             |         Upper level          |  gi   gk  |Type|               TP  |    Line  |
     Wavelength     |  Int. |   (s^-1)   |      |       (cm-1)       (cm-1)       |------------------------------------|------------------------------|           |    |              Ref. |    Ref.  |
      Air (nm)      |       |            |      |                                 | Conf.                 | Term | J   | Conf.           | Term | J   |           |    |                   |          |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek            | L Conf                |L Term| L J | U Conf          |U Term| U J |   gi - gk |Type|             TP    |   Line   |
         405.66     |       |            |      |  267576.0      -   292219.6     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 1/2 | 2p5.3s.(3P*).3d | 4P*  | 1/2 |   2 - 2   |    |                   |  L10065  |
         412.790    |       |            |      |   16956.17025  -   [41174.705]  | 2p6.3p                | 2P*  | 1/2 | 2p6.20d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         413.082    |       | 8.62e+03   | B    |   16973.36619  -   [41174.705]  | 2p6.3p                | 2P*  | 3/2 | 2p6.20d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         413.082    |       | 5.17e+04   | B    |   16973.36619  -   [41174.705]  | 2p6.3p                | 2P*  | 3/2 | 2p6.20d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         413.291    |       |            |      |   16956.17025  -   [41145.000]  | 2p6.3p                | 2P*  | 1/2 | 2p6.19d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         413.481    |       |            |      |   16956.17025  -   [41134.023]  | 2p6.3p                | 2P*  | 1/2 | 2p6.20s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         413.584    |       | 1.01e+04   | B    |   16973.36619  -   [41145.000]  | 2p6.3p                | 2P*  | 3/2 | 2p6.19d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         413.584    |       | 6.06e+04   | B    |   16973.36619  -   [41144.999]  | 2p6.3p                | 2P*  | 3/2 | 2p6.19d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         413.774    |       | 3.40e+04   | B    |   16973.36619  -   [41134.023]  | 2p6.3p                | 2P*  | 3/2 | 2p6.20s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
         413.890    |       |            |      |   16956.17025  -   [41110.202]  | 2p6.3p                | 2P*  | 1/2 | 2p6.18d         | 2D   | 3/2 |   2 - 4   |    |                   |   L9493  |
         414.108    |       |            |      |   16956.17025  -   [41097.271]  | 2p6.3p                | 2P*  | 1/2 | 2p6.19s         | 2S   | 1/2 |   2 - 2   |    |                   |   L9493  |
         414.184    |       | 1.12e+04   | B    |   16973.36619  -   [41110.202]  | 2p6.3p                | 2P*  | 3/2 | 2p6.18d         | 2D   | 3/2 |   4 - 4   |    |             T7799 |   L9493  |
         414.184    |       | 6.72e+04   | B    |   16973.36619  -   [41110.202]  | 2p6.3p                | 2P*  | 3/2 | 2p6.18d         | 2D   | 5/2 |   4 - 6   |    |             T7799 |   L9493  |
         414.403    |       | 4.01e+04   | B    |   16973.36619  -   [41097.271]  | 2p6.3p                | 2P*  | 3/2 | 2p6.19s         | 2S   | 1/2 |   4 - 2   |    |             T7799 |   L9493  |
