-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed        |   Rel. |     Aki      | Acc. |             Ei           Ek            |     Lower level     |     Upper level     |  gi   gk  |Type|    TP  |      Line  |
      Wavelength       |   Int. |    (s^-1)    |      |           (cm-1)       (cm-1)          |---------------------|---------------------|           |    |   Ref. |      Ref.  |
       Air (nm)        |        |              |      |                                        | Conf.  | Term | J   | Conf.  | Term | J   |           |    |        |            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
         Wavelength    |  Rel   |    Aki       | Acc  |              Ei - Ek                   | L Conf |L Term| L J | U Conf |U Term| U J |   gi - gk |Type|  TP    |   Line     |
          388.9025154  |        |              |      |  82258.9543992821  -   107965.0548660  | 2s     | 2S   | 1/2 | 8d     | 2D   | 3/2 |   2 - 4   | E2 |        |    L11759  |
          388.9025933  |        |              |      |  82258.9543992821  -   107965.0497145  | 2s     | 2S   | 1/2 | 8s     | 2S   | 1/2 |   2 - 2   | M1 |        |    L11759  |
          388.9064     |  70000 | 2.2148e+05   | AAA  |  82259.158         -   107965.0568     | 2      |      |     | 8      |      |     |   8 - 128 |    |  T8637 |  L7436c29  |
          397.0075     |  30000 | 4.3889e+05   | AAA  |  82259.158         -   107440.4508     | 2      |      |     | 7      |      |     |   8 - 98  |    |  T8637 |  L7436c29  |
          410.1707462  |        |              |      |  82258.9543992821  -   106632.1665697  | 2s     | 2S   | 1/2 | 6d     | 2D   | 5/2 |   2 - 6   | E2 |        |    L11759  |
          410.1710277  |        |              |      |  82258.9543992821  -   106632.1498416  | 2s     | 2S   | 1/2 | 6s     | 2S   | 1/2 |   2 - 2   | M1 |        |    L11759  |
          410.1734     |  70000 | 9.7320e+05   | AAA  |  82259.158         -   106632.1681     | 2      |      |     | 6      |      |     |   8 - 72  |    |  T8637 |  L7436c29  |
          434.0472     |  90000 | 2.5304e+06   | AAA  |  82259.158         -   105291.657      | 2      |      |     | 5      |      |     |   8 - 50  |    |  T8637 |  L7436c29  |
          486.1283363  |        |              |      |  82258.9543992821  -   102823.9094871  | 2s     | 2S   | 1/2 | 4d     | 2D   | 5/2 |   2 - 6   | E2 |        |     L9496  |
          486.1286949  |        | 9.6680e+06   | AAA  |  82258.9543992821  -   102823.8943175  | 2s     | 2S   | 1/2 | 4p     | 2P*  | 3/2 |   2 - 4   |    |  T7771 |     L9477  |
          486.1296711  |        |              |      |  82258.9543992821  -   102823.8530211  | 2s     | 2S   | 1/2 | 4s     | 2S   | 1/2 |   2 - 2   | M1 |        |     L9496  |
          486.1297761  |        | 9.6682e+06   | AAA  |  82258.9543992821  -   102823.8485825  | 2s     | 2S   | 1/2 | 4p     | 2P*  | 1/2 |   2 - 2   |    |  T7771 |     L9477  |
          486.135      | 180000 | 8.4193e+06   | AAA  |  82259.158         -   102823.904      | 2      |      |     | 4      |      |     |   8 - 32  |    |  T8637 |  L7439c30  |
          656.270970   |        | 5.3877e+07   | AAA  |  82258.9191133     -    97492.319433   | 2p     | 2P*  | 1/2 | 3d     | 2D   | 3/2 |   2 - 4   |    |  T7771 |     L2752  |
          656.272483   |        | 2.2448e+07   | AAA  |  82258.9543992821  -    97492.319611   | 2s     | 2S   | 1/2 | 3p     | 2P*  | 3/2 |   2 - 4   |    |  T7771 |  L6891c38  |
          656.277153   |        | 2.2449e+07   | AAA  |  82258.9543992821  -    97492.211200   | 2s     | 2S   | 1/2 | 3p     | 2P*  | 1/2 |   2 - 2   |    |  T7771 |  L6891c38  |
          656.279      | 500000 | 4.4101e+07   | AAA  |  82259.158         -    97492.304      | 2      |      |     | 3      |      |     |   8 - 18  |    |  T8637 |  L7400c29  |
          656.285175   |        | 6.4651e+07   | AAA  |  82259.2850014     -    97492.355566   | 2p     | 2P*  | 3/2 | 3d     | 2D   | 5/2 |   4 - 6   |    |  T7771 |     L2752  |
