------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |  Rel. |    Aki     | Acc. |        Ei           Ek        |           Lower level            |            Upper level            |  gi   gk  |Type|         TP  |          Line  |
    Wavelength    |  Int. |   (s^-1)   |      |      (cm-1)       (cm-1)      |----------------------------------|-----------------------------------|           |    |        Ref. |          Ref.  |
     Air (nm)     |       |            |      |                               | Conf.             | Term  | J    | Conf.              | Term  | J    |           |    |             |                |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek          | L Conf            |L Term | L J  | U Conf             |U Term | U J  |   gi - gk |Type|       TP    |       Line     |
        302.7976  |     7 |            |      |  232747.562   -   265763.36   | 2s2.2p2.(3P).3d   | 4D    | 5/2  | 2s2.2p2.(3P).5f G  | 2[4]* | 7/2  |   6 - 8   |    |             |        L10621  |
        302.8736  |     9 |            |      |  232753.816   -   265761.29   | 2s2.2p2.(3P).3d   | 4D    | 7/2  | 2s2.2p2.(3P).5f G  | 2[4]* | 9/2  |   8 - 10  |    |             |        L10621  |
        303.1929  |    3* |            |      |  232747.562   -   265720.38   | 2s2.2p2.(3P).3d   | 4D    | 5/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        303.1929  |    3* |            |      |  232745.981   -   265718.48   | 2s2.2p2.(3P).3d   | 4D    | 3/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
        303.2084  |    12 |            |      |  232959.210   -   265930.31   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f G  | 2[5]* | 9/2  |   8 - 10  |    |             |        L10621  |
        303.2458  |     9 |            |      |  232796.298   -   265763.36   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f G  | 2[4]* | 7/2  |   6 - 8   |    |             |        L10621  |
        303.6402  |     7 |            |      |  232796.298   -   265720.38   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        303.9461  |    8* |            |      |  232745.981   -   265637.10   | 2s2.2p2.(3P).3d   | 4D    | 3/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
        303.9461  |    8* |            |      |  232747.562   -   265638.59   | 2s2.2p2.(3P).3d   | 4D    | 5/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        304.3991  |     2 |            |      |  232796.298   -   265638.59   | 2s2.2p2.(3P).3d   | 2F    | 5/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        304.6693  |    4w |            |      |  253048.82    -   285861.74?  | 2s2.2p2.(1D).3d   | 2D    | 5/2  | 2s2.2p2.(1D).5f F  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        304.7115  |  13bl |            |      |  232959.210   -   265767.55   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 5/2  |   8 - 6   |    |             |        L10621  |
        305.9293  |  10bl |            |      |  232959.210   -   265637.10   | 2s2.2p2.(3P).3d   | 2F    | 7/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 5/2  |   8 - 6   |    |             |        L10621  |
        308.1391  |     9 |            |      |  212593.82    -   245037.29   | 2s.2p4            | 2P    | 3/2  | 2s2.2p2.(3P).4p    | 2S*   | 1/2  |   4 - 2   |    |             |        L10621  |
        309.0376  |    10 |            |      |  233544.59    -   265893.62   | 2s2.2p2.(3P).3d   | 2P    | 1/2  | 2s2.2p2.(3P).5f D  | 2[1]* | 3/2  |   2 - 4   |    |             |        L10621  |
        309.1536  |     8 |            |      |  233430.53    -   265767.55   | 2s2.2p2.(3P).3d   | 2P    | 3/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        309.7477  |     9 |            |      |  212762.25    -   245037.29   | 2s.2p4            | 2P    | 1/2  | 2s2.2p2.(3P).4p    | 2S*   | 1/2  |   2 - 2   |    |             |        L10621  |
        310.2588  |     3 |            |      |  233544.59    -   265766.28   | 2s2.2p2.(3P).3d   | 2P    | 1/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 3/2  |   2 - 4   |    |             |        L10621  |
        310.4049  |     8 |            |      |  233430.53    -   265637.10   | 2s2.2p2.(3P).3d   | 2P    | 3/2  | 2s2.2p2.(3P).5f D  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
        310.7846  |    3w |            |      |  253792.40    -   285959.69?  | 2s2.2p2.(1D).3d   | 2P    | 3/2  | 2s2.2p2.(1D).5f D  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        311.3611  |    11 | 3.14e+06   | C    |  206786.286   -   238893.96   | 2s2.2p2.(3P).3p   | 4D*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 5/2  |   4 - 6   |    |     T5723LS |        L10621  |
        312.2521  |    17 | 2.80e+07   | C    |  206877.865   -   238893.96   | 2s2.2p2.(3P).3p   | 4D*   | 5/2  | 2s2.2p2.(3P).4s    | 4P    | 5/2  |   6 - 6   |    |     T5723LS |        L10621  |
        312.3921  |    13 | 7.76e+06   | C    |  206730.762   -   238732.65   | 2s2.2p2.(3P).3p   | 4D*   | 1/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   2 - 4   |    |     T5723LS |        L10621  |
        312.9334  |    17 | 4.94e+07   | C    |  206786.286   -   238732.65   | 2s2.2p2.(3P).3p   | 4D*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   4 - 4   |    |     T5723LS |        L10621  |
        313.4218  |    17 | 7.68e+07   | C    |  206730.762   -   238627.46   | 2s2.2p2.(3P).3p   | 4D*   | 1/2  | 2s2.2p2.(3P).4s    | 4P    | 1/2  |   2 - 2   |    |     T5723LS |        L10621  |
        313.4720  |    22 | 1.23e+08   | C    |  207002.482   -   238893.96   | 2s2.2p2.(3P).3p   | 4D*   | 7/2  | 2s2.2p2.(3P).4s    | 4P    | 5/2  |   8 - 6   |    |     T5723LS |        L10621  |
        313.8335  |    19 | 9.64e+07   | C    |  206877.865   -   238732.65   | 2s2.2p2.(3P).3p   | 4D*   | 5/2  | 2s2.2p2.(3P).4s    | 4P    | 3/2  |   6 - 4   |    |     T5723LS |        L10621  |
        313.9680  |    17 | 7.64e+07   | C    |  206786.286   -   238627.46   | 2s2.2p2.(3P).3p   | 4D*   | 3/2  | 2s2.2p2.(3P).4s    | 4P    | 1/2  |   4 - 2   |    |     T5723LS |        L10621  |
        314.7827  |     3 |            |      |  230609.45    -   262368.05   | 2s2.2p2.(1S).3s   | 2S    | 1/2  | 2s2.2p2.(3P).5p    | 2P*   | 3/2  |   2 - 4   |    |             |        L10621  |
        315.5906  |    1w |            |      |  230609.45    -   262286.82   | 2s2.2p2.(1S).3s   | 2S    | 1/2  | 2s2.2p2.(3P).5p    | 2P*   | 1/2  |   2 - 2   |    |             |        L10621  |
        316.7571  |     9 |            |      |  234402.797   -   265963.54   | 2s2.2p2.(3P).3d   | 2D    | 3/2  | 2s2.2p2.(3P).5f F  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        316.8634  |    13 |            |      |  234454.634   -   266004.90   | 2s2.2p2.(3P).3d   | 2D    | 5/2  | 2s2.2p2.(3P).5f F  | 2[4]* | 7/2  |   6 - 8   |    |             |        L10621  |
        316.9865  |    7* |            |      |  234454.634   -   265992.37   | 2s2.2p2.(3P).3d   | 2D    | 5/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 5/2  |   6 - 6   |    |             |        L10621  |
        316.9865  |    7* |            |      |  234454.634   -   265992.31   | 2s2.2p2.(3P).3d   | 2D    | 5/2  | 2s2.2p2.(3P).5f F  | 2[3]* | 7/2  |   6 - 8   |    |             |        L10621  |
        318.7369  |    4w |            |      |  234402.797   -   265767.55   | 2s2.2p2.(3P).3d   | 2D    | 3/2  | 2s2.2p2.(3P).5f D  | 2[2]* | 5/2  |   4 - 6   |    |             |        L10621  |
        319.2358  |     3 |            |      |  234402.797   -   265718.48   | 2s2.2p2.(3P).3d   | 2D    | 3/2  | 2s2.2p2.(3P).5f G  | 2[3]* | 5/2  |   4 - 6   |    |             |        L10621  |
