------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |     Lower level     |      Upper level      |  gi   gk  |Type|           TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |---------------------|-----------------------|           |    |          Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.  | Term | J   | Conf.   | Term | J    |           |    |               |         |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf |L Term| L J | U Conf  |U Term| U J  |   gi - gk |Type|  TP           |   Line  |
       453.4291 |    6* |            |      |   93799.63  -   115847.67 | 2p6.4f | 2F*  | 5/2 | 2p6.9g  | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       453.4291 |    6* |            |      |   93799.75  -   115847.67 | 2p6.4f | 2F*  | 7/2 | 2p6.9g  | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       463.0878 |     2 | 2.75e+05   | B    |   93310.59  -   114898.72 | 2p6.4d | 2D   | 5/2 | 2p6.9p  | 2P*  | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       463.1405 |     1 | 3.01e+05   | C+   |   93311.11  -   114896.79 | 2p6.4d | 2D   | 3/2 | 2p6.9p  | 2P*  | 1/2  |   4 - 2   |    |           c31 |  L7414  |
       473.9588 |     6 | 8.09e+06   | B+   |   93310.59  -   114403.55 | 2p6.4d | 2D   | 5/2 | 2p6.8f  | 2F*  | 7/2  |   6 - 8   |    |           c31 |  L7414  |
       473.9712 |     5 | 7.55e+06   | B+   |   93311.11  -   114403.55 | 2p6.4d | 2D   | 3/2 | 2p6.8f  | 2F*  | 5/2  |   4 - 6   |    |           c31 |  L7414  |
       485.1082 |    7* |            |      |   93799.63  -   114407.88 | 2p6.4f | 2F*  | 5/2 | 2p6.8g  | 2G   | 7/2  |   6 - 8   |    |               |  L7414  |
       485.1082 |    7* |            |      |   93799.75  -   114407.88 | 2p6.4f | 2F*  | 7/2 | 2p6.8g  | 2G   | 9/2  |   8 - 10  |    |               |  L7414  |
       486.8845 |    2* | 1.50e+05   | C+   |   93799.63  -   114332.74 | 2p6.4f | 2F*  | 5/2 | 2p6.8d  | 2D   | 3/2  |   6 - 4   |    |           c31 |  L7414  |
       486.8845 |    2* | 1.41e+05   | C+   |   93799.75  -   114332.68 | 2p6.4f | 2F*  | 7/2 | 2p6.8d  | 2D   | 5/2  |   8 - 6   |    |           c31 |  L7414  |
